category,forecast_week_1,forecast_week_2,forecast_week_3,forecast_week_4,forecast_total_4w,avg_weekly_demand,model_rmse,safety_stock,reorder_point,recommended_stock_4w,trend,change_pct
bed_bath_table,46.2,82.9,109.0,113.0,351.1,87.8,50.2,204.0,352.0,556.0,spadający 📉,-14.5
health_beauty,47.9,72.3,96.5,108.6,325.4,81.3,61.6,208.0,346.0,534.0,spadający 📉,-13.9
housewares,41.5,69.4,87.9,95.9,294.7,73.7,43.7,173.0,298.0,468.0,spadający 📉,-11.5
sports_leisure,39.6,67.6,87.6,96.5,291.3,72.8,41.2,169.0,292.0,461.0,spadający 📉,-15.7
computers_accessories,35.6,59.9,73.5,82.8,251.7,62.9,37.4,148.0,255.0,400.0,spadający 📉,-26.4
furniture_decor,35.1,56.9,73.1,80.0,245.0,61.3,38.6,147.0,251.0,393.0,spadający 📉,-24.4
watches_gifts,35.0,50.3,57.3,60.5,203.0,50.8,31.9,121.0,207.0,325.0,spadający 📉,-44.1
auto,31.7,49.6,57.5,62.5,201.2,50.3,31.0,120.0,205.0,322.0,spadający 📉,-11.9
baby,25.7,31.6,40.5,42.1,139.9,35.0,20.1,82.0,141.0,222.0,spadający 📉,-38.8
perfumery,26.7,31.5,39.3,39.8,137.2,34.3,20.5,81.0,139.0,219.0,spadający 📉,-22.5
telephony,24.6,28.2,30.8,32.1,115.7,28.9,22.3,75.0,124.0,191.0,spadający 📉,-18.3
toys,21.7,28.7,30.7,31.7,112.8,28.2,15.7,65.0,113.0,178.0,stabilny ➡️,-8.2
stationery,19.5,26.8,27.9,25.4,99.6,24.9,16.3,61.0,103.0,161.0,spadający 📉,-36.5
garden_tools,17.6,22.0,25.0,22.2,86.8,21.7,21.6,63.0,100.0,150.0,spadający 📉,-25.7
cool_stuff,18.5,22.1,22.4,22.0,85.0,21.3,14.3,52.0,88.0,138.0,spadający 📉,-24.4
food,16.8,21.2,20.3,17.3,75.5,18.9,8.8,42.0,74.0,118.0,rosnący 📈,56.9
construction_tools_construction,17.0,20.2,20.4,17.8,75.4,18.9,12.4,46.0,78.0,122.0,rosnący 📈,15.4
fashion_bags_accessories,15.5,18.0,19.0,19.2,71.7,17.9,11.2,43.0,74.0,115.0,stabilny ➡️,-4.2
